% isAttack tcpFlood:	444
% isAttack normal:	1333
% isAttack slowRead:	444
% isAttack httpFlood:	444
% isAttack slowHeaders:	444
% isAttack udpFlood:	372
% isAttack slowBody:	444
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-4,8,17-18,26-27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_srv_rerror_rate numeric
@attribute isAttack {tcpFlood,normal,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
tcp,S3,374,417,100,100,0,httpFlood
tcp,OTH,66,41,92,92,0,httpFlood
tcp,OTH,60,179,33,33,0,httpFlood
tcp,S3,380,157,100,100,0,httpFlood
tcp,S3,374,269,100,100,0,httpFlood
tcp,S3,374,270,100,100,0,httpFlood
tcp,S1,242,172,100,100,0,httpFlood
tcp,S3,374,150,100,100,0,httpFlood
tcp,S3,377,869,100,100,0,httpFlood
tcp,S3,374,7,7,7,0,httpFlood
tcp,S3,386,315,100,100,0,httpFlood
tcp,S3,374,148,100,100,0,httpFlood
tcp,S3,374,153,100,100,0,httpFlood
tcp,OTH,60,138,33,33,0,httpFlood
tcp,OTH,66,146,54,45,0,httpFlood
tcp,S3,374,352,100,100,0,httpFlood
tcp,RSTO,446,587,100,100,0,httpFlood
tcp,S3,392,761,100,100,0,httpFlood
tcp,S3,374,18,18,18,0,httpFlood
tcp,OTH,60,41,33,33,0,httpFlood
tcp,S3,374,101,100,100,0,httpFlood
tcp,OTH,60,165,33,33,0,httpFlood
tcp,S3,377,909,100,100,0,httpFlood
tcp,OTH,60,140,31,31,0,httpFlood
tcp,OTH,66,48,40,40,0,httpFlood
tcp,S3,377,951,100,100,0,httpFlood
tcp,OTH,60,179,33,33,0,httpFlood
tcp,OTH,66,50,34,34,0,httpFlood
tcp,S3,380,145,100,100,0,httpFlood
tcp,S3,374,165,100,100,0,httpFlood
