% isAttack normal:	1333
% isAttack highrate:	1260
% isAttack lowrate:	1332
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-4,8-9,16-18,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute srv_count numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute isAttack {normal,highrate,lowrate}

@data
tcp,S3,880,3098,3098,0,100,100,normal
tcp,SF,946,1140,1140,0,100,100,normal
tcp,SF,946,1906,1906,0,92,92,normal
tcp,SF,880,2307,2307,0,100,100,normal
tcp,OTH,66,2133,2133,0,48,48,normal
tcp,SF,946,3889,3889,0,98,98,normal
tcp,OTH,78,5592,5592,0,75,75,normal
tcp,OTH,66,2925,2925,0,29,29,normal
tcp,OTH,146,2598,2598,0,69,69,normal
tcp,OTH,66,2016,2016,0,47,47,normal
tcp,SF,946,2358,2358,0,63,63,normal
tcp,OTH,66,3076,3076,0,43,43,normal
tcp,OTH,66,2506,2506,0,50,50,normal
tcp,SF,946,2282,2282,0,100,100,normal
tcp,OTH,78,5702,5702,0,45,45,normal
tcp,OTH,66,4954,4954,0,46,46,normal
tcp,SF,946,3207,3207,0,100,100,normal
tcp,SF,946,2386,2386,0,100,100,normal
tcp,SF,946,2367,2367,0,100,100,normal
tcp,SF,946,2989,2989,0,98,98,normal
tcp,OTH,66,5178,5178,0,58,58,normal
tcp,OTH,66,2719,2719,0,52,52,normal
tcp,OTH,66,5330,5330,0,86,86,normal
tcp,SF,946,2205,2205,0,100,100,normal
tcp,SF,946,3295,3295,0,71,71,normal
tcp,SF,880,2400,2400,0,85,85,normal
tcp,SF,946,592,592,0,100,100,normal
tcp,SF,946,2012,2012,0,100,100,normal
tcp,SF,1120,591,591,0,100,100,normal
tcp,OTH,66,3197,3197,0,49,49,normal
tcp,SF,946,2790,2790,0,98,98,normal
tcp,SF,946,795,795,0,100,100,normal
tcp,SF,946,2492,2492,0,100,100,normal
tcp,SF,946,1948,1948,0,100,100,normal
tcp,SF,946,3349,3349,0,100,100,normal
tcp,OTH,66,6272,6272,0,47,47,normal
tcp,OTH,66,3330,3330,0,44,44,normal
tcp,SF,946,3026,3026,0,68,68,normal
tcp,SF,1042,2321,2321,0,100,100,normal
tcp,SF,1120,2619,2619,0,100,100,normal
tcp,OTH,66,5859,5859,0,52,52,normal
tcp,SF,946,1834,1834,0,100,100,normal
tcp,OTH,66,4301,4301,0,51,51,normal
tcp,SF,946,1885,1885,0,100,100,normal
tcp,SF,734,3015,3015,0,47,47,normal
tcp,SF,946,2316,2316,0,100,100,normal
tcp,OTH,66,3615,3615,0,38,38,normal
tcp,OTH,66,3076,3076,0,43,43,normal
tcp,SF,946,1865,1865,0,94,94,normal
tcp,OTH,66,4913,4913,0,78,78,normal
tcp,OTH,66,4416,4416,0,43,43,normal
tcp,SF,946,4231,4231,0,95,95,normal
tcp,OTH,66,4746,4746,0,42,42,normal
tcp,SF,946,2531,2531,0,100,100,normal
