@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-V-R2-3,8,12,18,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute count numeric
@attribute rerror_rate numeric
@attribute dst_host_srv_count numeric
@attribute isAttack {tcpFlood,normal,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
tcp,SF,1915,0,100,normal
tcp,OTH,4952,0,44,normal
tcp,SF,3029,0,91,normal
tcp,OTH,2407,0,85,normal
tcp,OTH,2382,0,85,normal
tcp,SF,2141,0,100,normal
tcp,OTH,4081,0,99,normal
tcp,SF,2449,0,100,normal
tcp,OTH,5868,0,50,normal
tcp,OTH,3335,0,45,normal
tcp,SF,2525,0,100,normal
tcp,SF,2316,0,100,normal
tcp,SF,4030,0,100,normal
tcp,OTH,4505,0,47,normal
tcp,OTH,6144,0,52,normal
tcp,SF,2566,0,100,normal
tcp,SF,3347,0,100,normal
tcp,OTH,3702,0,91,normal
tcp,OTH,5891,0,46,normal
tcp,SF,1192,0,100,normal
tcp,SF,518,0,97,normal
tcp,SF,2440,0,100,normal
tcp,OTH,4052,0,32,normal
tcp,SF,4010,0,98,normal
tcp,SF,2699,0,100,normal
tcp,OTH,4154,0,88,normal
tcp,SF,2142,0,100,normal
tcp,SF,3882,0,100,normal
tcp,OTH,5671,0,17,normal
tcp,OTH,1890,0,46,normal
tcp,SF,3872,0,75,normal
tcp,SF,972,0,100,normal
tcp,SF,1509,0,100,normal
tcp,SF,3990,0,100,normal
tcp,OTH,2920,0,53,normal
tcp,SF,2364,0,100,normal
tcp,SF,1462,0,100,normal
tcp,SF,2167,0,100,normal
tcp,SF,1152,0,100,normal
tcp,SF,2151,0,100,normal
tcp,SF,2485,0,100,normal
