% isAttack tcpFlood:	667
% isAttack slowRead:	667
% isAttack httpFlood:	667
% isAttack slowHeaders:	667
% isAttack slowBody:	667
@relation 'tcpFlood-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R4-5,8-10,23,27'

@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute count numeric
@attribute srv_count numeric
@attribute serror_rate numeric
@attribute dst_host_serror_rate numeric
@attribute isAttack {tcpFlood,httpFlood,slowRead,slowHeaders,slowBody}

@data
78,0,759,759,0,0,tcpFlood
78,0,4419,4419,0,0,tcpFlood
78,0,4216,4216,0,0,tcpFlood
78,0,3520,3520,0,0,tcpFlood
78,0,2364,2364,0,0,tcpFlood
78,0,3077,3077,0,0,tcpFlood
78,0,6321,6321,0,0,tcpFlood
78,0,816,816,0,0,tcpFlood
78,0,2977,2977,0,0,tcpFlood
78,0,3836,3836,0,0,tcpFlood
78,0,2372,2372,0,0,tcpFlood
78,0,5012,5012,0,0,tcpFlood
78,0,2653,2653,0,0,tcpFlood
78,0,3340,3340,0,0,tcpFlood
78,0,4547,4547,0,0,tcpFlood
78,0,4432,4432,0,0,tcpFlood
78,0,64,64,0,0,tcpFlood
78,0,4055,4055,0,0,tcpFlood
78,0,6195,6195,0,0,tcpFlood
78,0,4348,4348,0,0,tcpFlood
78,0,3647,3647,0,0,tcpFlood
78,0,5211,5211,0,0,tcpFlood
78,0,4891,4891,0,0,tcpFlood
78,0,2102,2102,0,0,tcpFlood
78,0,3427,3427,0,0,tcpFlood
78,0,5399,5399,0,0,tcpFlood
78,0,3726,3726,0,0,tcpFlood
78,0,2980,2980,0,0,tcpFlood
78,0,4944,4944,0,0,tcpFlood
78,0,3500,3500,0,0,tcpFlood
78,0,1305,1305,0,0,tcpFlood
78,0,5035,5035,0,0,tcpFlood
78,0,1841,1841,0,0,tcpFlood
78,0,1392,1392,0,0,tcpFlood
78,0,4379,4379,0,0,tcpFlood
78,0,1983,1983,0,0,tcpFlood
78,0,4567,4567,0,0,tcpFlood
78,0,3799,3799,0,0,tcpFlood
78,0,5358,5358,0,0,tcpFlood
78,0,5268,5268,0,0,tcpFlood
78,0,2904,2904,0,0,tcpFlood
78,0,4172,4172,0,0,tcpFlood
78,0,1075,1075,0,0,tcpFlood
78,0,6178,6178,0,0,tcpFlood
78,0,1375,1375,0,0,tcpFlood
78,0,1435,1435,0,0,tcpFlood
78,0,960,960,0,0,tcpFlood
78,0,1929,1929,0,0,tcpFlood
78,0,770,770,0,0,tcpFlood
78,0,5997,5997,0,0,tcpFlood
78,0,5321,5321,0,0,tcpFlood
78,0,3336,3336,0,0,tcpFlood
78,0,2751,2751,0,0,tcpFlood
78,0,1814,1814,0,0,tcpFlood
78,0,1812,1812,0,0,tcpFlood
78,0,4460,4460,0,0,tcpFlood
78,0,1271,1271,0,0,tcpFlood
