% isAttack tcpFlood:	199
% isAttack slowRead:	667
% isAttack httpFlood:	667
% isAttack slowHeaders:	667
% isAttack udpFlood:	667
% isAttack slowBody:	667
@relation 'tcpFlood-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R5,7-8,16,30,38-40'

@attribute min_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute std_fiat numeric
@attribute sflow_fpackets numeric
@attribute total_fhlen numeric
@attribute total_bhlen numeric
@attribute isAttack {tcpFlood,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
40,40,0,20844,1892,113528,0,udpFlood
40,40,0,28879,2144,128648,0,udpFlood
40,40,0,1985,4867,97348,0,udpFlood
40,40,0,21890,6707,134148,0,udpFlood
40,40,0,8177,12353,247068,0,udpFlood
40,40,0,31821,4731,94628,0,udpFlood
40,40,0,14280,9957,199148,0,udpFlood
40,40,0,43963,1515,60628,0,udpFlood
40,40,0,2118,4802,96048,0,udpFlood
40,40,0,8108,12149,242988,0,udpFlood
40,40,0,14103,9715,194308,0,udpFlood
40,40,0,2279,14741,294828,0,udpFlood
40,40,0,57870,614,49148,0,udpFlood
40,40,0,39830,1768,70748,0,udpFlood
40,40,0,22031,6537,130748,0,udpFlood
40,40,0,13617,9321,186428,0,udpFlood
40,40,0,46438,3663,73268,0,udpFlood
40,40,0,68719,185,14848,0,udpFlood
40,40,0,2086,4790,95808,0,udpFlood
40,40,0,18145,2188,131328,0,udpFlood
40,40,0,9869,4730,189208,0,udpFlood
40,40,0,68392,414,24888,0,udpFlood
53,53,0,0,2,48,0,udpFlood
40,40,0,25248,2176,130588,0,udpFlood
40,40,0,60657,587,46988,0,udpFlood
40,40,0,33109,4776,95528,0,udpFlood
40,40,0,42909,3930,78608,0,udpFlood
40,40,0,13327,7574,151488,0,udpFlood
40,40,0,49456,705,56408,0,udpFlood
40,40,0,40811,2027,81108,0,udpFlood
40,40,0,55597,1421,56868,0,udpFlood
40,40,0,55655,1401,56068,0,udpFlood
40,40,0,7953,12493,249868,0,udpFlood
40,40,0,8115,12047,240948,0,udpFlood
40,40,0,34812,4306,86128,0,udpFlood
40,40,0,47432,1769,70788,0,udpFlood
40,40,0,65684,306,24488,0,udpFlood
40,40,0,57866,1324,52988,0,udpFlood
40,40,0,34454,4460,89208,0,udpFlood
40,40,0,23181,6297,125948,0,udpFlood
40,40,0,41876,1205,72328,0,udpFlood
40,40,0,10266,4697,187908,0,udpFlood
40,40,0,31881,4981,99628,0,udpFlood
40,40,0,52223,979,58768,0,udpFlood
40,40,0,20930,7069,141388,0,udpFlood
40,40,0,61654,1165,46608,0,udpFlood
40,40,0,20653,1981,118888,0,udpFlood
40,40,0,17844,7807,156148,0,udpFlood
40,40,0,19253,7201,144028,0,udpFlood
40,40,0,32233,4734,94688,0,udpFlood
40,40,0,38108,4231,84628,0,udpFlood
40,40,0,14565,7435,148708,0,udpFlood
40,40,0,43487,737,58988,0,udpFlood
40,40,0,10500,4507,180288,0,udpFlood
40,40,0,57100,894,53688,0,udpFlood
40,40,0,18518,7426,148528,0,udpFlood
40,40,0,1358,17722,354448,0,udpFlood
40,40,0,40553,596,59688,0,udpFlood
40,40,0,42498,1056,63408,0,udpFlood
40,40,0,44144,1923,76948,0,udpFlood
40,40,0,39408,2086,83468,0,udpFlood
40,40,0,7919,12262,245248,0,udpFlood
40,40,0,40405,1031,61908,0,udpFlood
40,40,0,43352,4087,81748,0,udpFlood
40,40,0,32798,4670,93408,0,udpFlood
40,40,0,18375,7743,154868,0,udpFlood
40,40,0,2438,4427,88548,0,udpFlood
40,40,0,41764,3555,71108,0,udpFlood
40,40,0,13110,9132,182648,0,udpFlood
40,40,0,35253,4149,82988,0,udpFlood
40,40,0,45768,1524,60988,0,udpFlood
40,40,0,74547,356,21388,0,udpFlood
40,40,0,42542,706,56488,0,udpFlood
40,40,0,38051,4185,83708,0,udpFlood
40,40,0,2151,15574,311488,0,udpFlood
40,40,0,33809,4480,89608,0,udpFlood
40,40,0,14844,7693,153868,0,udpFlood
40,40,0,19143,2123,127388,0,udpFlood
40,40,0,27526,2101,126088,0,udpFlood
40,40,0,36563,4088,81768,0,udpFlood
40,40,0,2118,15478,309568,0,udpFlood
40,40,0,42907,1013,60828,0,udpFlood
40,40,0,81385,294,5888,0,udpFlood
40,40,0,45741,3936,78728,0,udpFlood
40,40,0,2057,15974,319488,0,udpFlood
40,40,0,20658,1601,128148,0,udpFlood
40,40,0,7831,12686,253728,0,udpFlood
40,40,0,39445,1767,70708,0,udpFlood
40,40,0,1922,4921,98428,0,udpFlood
40,40,0,8002,12237,244748,0,udpFlood
