% isAttack tcpFlood:	571
% isAttack normal:	571
% isAttack slowRead:	571
% isAttack httpFlood:	571
% isAttack slowHeaders:	571
% isAttack udpFlood:	372
% isAttack slowBody:	571
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R1-2,4-5,8-9,11,14,16-19,21-22,24,27'

@attribute duration numeric
@attribute protocol_type {tcp,icmp,udp}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute count numeric
@attribute srv_count numeric
@attribute srv_serror_rate numeric
@attribute same_srv_rate numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_srv_rate numeric
@attribute dst_host_same_src_port_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute dst_host_srv_serror_rate numeric
@attribute isAttack {tcpFlood,normal,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
0,tcp,60,0,38,72,0,1,0.47,38,41,1,0.9,0.07,0,normal
0,tcp,60,0,39,45,0,1,0.13,37,38,1,0.95,0.03,0,normal
0,tcp,66,0,7,7,0,1,0,7,36,1,0.19,0.81,0,normal
8,tcp,272,140,0,1,0,0,1,0,56,0,0,1,0,normal
0,tcp,60,0,357,362,0,1,0.01,49,49,1,0.98,0,0,normal
0,tcp,60,0,19,87,0,1,0.78,19,47,1,0.4,0.6,0,normal
0,tcp,60,0,285,285,0,1,0,27,27,1,0.96,0,0,normal
0,tcp,78,0,9,44,0,1,0.8,9,44,1,0.2,0.8,0,normal
0,tcp,60,0,335,341,0,1,0.02,49,49,1,0.98,0,0,normal
0,tcp,66,0,75,82,0,1,0.09,38,39,1,0.95,0.03,0,normal
0,tcp,66,0,168,169,0,1,0.01,23,23,1,0.96,0,0,normal
0,tcp,66,0,1,19,0,1,0.95,1,45,1,0.02,0.98,0,normal
0,tcp,154,0,58,70,0,1,0.17,38,38,1,0.97,0,0,normal
0,tcp,60,0,208,209,0,1,0,33,33,1,0.97,0,0,normal
0,tcp,66,0,309,311,0,1,0.01,33,33,1,0.97,0,0,normal
0,tcp,159,0,0,48,0,0,1,0,54,0,0,1,0,normal
112,tcp,6374,20970,0,2,0,0,1,0,82,0,0,1,0,normal
0,tcp,66,0,0,16,0,0,1,0,45,0,0,1,0,normal
0,tcp,60,0,312,314,0,1,0.01,33,33,1,0.97,0,0,normal
0,tcp,100,0,0,27,0,0,1,0,51,0,0,1,0,normal
6,tcp,1249,854,8,182,0.23,1,0.96,6,40,1,0,0.85,0.3,normal
0,tcp,60,0,105,138,0,1,0.24,28,29,1,0.93,0.03,0,normal
0,tcp,60,0,300,300,0,1,0,32,32,1,0.97,0,0,normal
0,tcp,60,0,298,298,0,1,0,32,32,1,0.97,0,0,normal
4,tcp,2699,5988,4,242,0,1,0.98,4,31,1,0,0.87,0,normal
0,tcp,60,0,306,308,0,1,0.01,32,32,1,0.97,0,0,normal
0,tcp,60,0,25,116,0,1,0.78,18,42,1,0.42,0.57,0,normal
0,tcp,60,0,181,182,0,1,0.01,38,38,1,0.97,0,0,normal
0,tcp,66,0,2,9,0,1,0.78,2,46,1,0.04,0.96,0,normal
0,tcp,224,0,4,4,0,1,0,15,49,1,0.3,0.69,0,normal
0,tcp,60,0,50,54,0,1,0.07,37,37,1,0.97,0,0,normal
6,tcp,272,140,0,5,0,0,1,3,37,0.33,0,0.97,0,normal
35,tcp,1747,6510,1,6,0,1,0.83,1,55,1,0,0.98,0,normal
5,tcp,1142,4639,2,13,0.31,1,0.85,2,33,1,0,0.94,0.12,normal
0,tcp,60,0,73,128,0,1,0.43,34,44,1,0.76,0.23,0,normal
0,tcp,66,0,4,10,0,1,0.6,4,44,1,0.09,0.91,0,normal
0,tcp,60,0,287,287,0,1,0,38,38,1,0.97,0,0,normal
0,tcp,60,0,45,45,0,1,0,40,40,1,0.98,0,0,normal
0,tcp,60,0,120,127,0,1,0.06,41,42,1,0.95,0.02,0,normal
