% isAttack tcpFlood:	667
% isAttack slowRead:	667
% isAttack httpFlood:	667
% isAttack slowHeaders:	667
% isAttack udpFlood:	372
% isAttack slowBody:	667
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-4,8,17,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute dst_host_count numeric
@attribute isAttack {tcpFlood,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
tcp,S3,377,774,99,httpFlood
tcp,S3,377,851,99,httpFlood
tcp,S3,374,145,100,httpFlood
tcp,S3,374,312,100,httpFlood
tcp,S3,380,915,100,httpFlood
tcp,S3,374,229,100,httpFlood
tcp,S3,377,778,99,httpFlood
tcp,S3,377,309,69,httpFlood
tcp,S3,377,630,100,httpFlood
tcp,S3,377,798,99,httpFlood
tcp,S3,374,87,98,httpFlood
tcp,S3,377,306,68,httpFlood
tcp,OTH,60,180,33,httpFlood
tcp,S3,374,91,91,httpFlood
tcp,OTH,60,6,6,httpFlood
tcp,S3,386,129,100,httpFlood
tcp,S3,377,585,100,httpFlood
tcp,S3,374,184,100,httpFlood
tcp,S1,248,169,100,httpFlood
tcp,S3,377,1008,100,httpFlood
tcp,RSTO,446,480,100,httpFlood
tcp,OTH,66,0,0,httpFlood
tcp,OTH,66,27,27,httpFlood
tcp,OTH,60,79,23,httpFlood
tcp,S3,374,96,100,httpFlood
tcp,RSTO,446,530,100,httpFlood
tcp,OTH,66,261,98,httpFlood
tcp,S3,374,3,98,httpFlood
tcp,RSTO,446,401,100,httpFlood
tcp,OTH,60,147,33,httpFlood
tcp,OTH,60,178,33,httpFlood
tcp,S3,374,6,6,httpFlood
tcp,OTH,66,117,100,httpFlood
tcp,S1,248,152,100,httpFlood
tcp,S3,374,152,100,httpFlood
tcp,OTH,60,162,33,httpFlood
tcp,S1,242,457,100,httpFlood
tcp,RSTO,446,352,100,httpFlood
tcp,S3,377,628,100,httpFlood
tcp,S3,374,131,100,httpFlood
tcp,S3,377,509,100,httpFlood
tcp,RSTO,446,706,100,httpFlood
tcp,S3,380,770,100,httpFlood
tcp,S3,374,9,9,httpFlood
tcp,S3,374,351,100,httpFlood
tcp,S3,377,825,99,httpFlood
tcp,S3,374,149,100,httpFlood
tcp,OTH,60,169,33,httpFlood
tcp,S3,377,850,99,httpFlood
tcp,S1,242,171,100,httpFlood
tcp,OTH,66,59,94,httpFlood
tcp,S3,377,636,100,httpFlood
tcp,S3,374,30,30,httpFlood
tcp,S3,374,134,100,httpFlood
tcp,S3,374,152,100,httpFlood
tcp,S3,374,120,100,httpFlood
tcp,OTH,60,177,33,httpFlood
tcp,S3,374,179,100,httpFlood
tcp,S3,374,166,100,httpFlood
tcp,S3,374,165,100,httpFlood
tcp,S3,374,152,100,httpFlood
tcp,RSTO,446,461,100,httpFlood
tcp,OTH,60,137,20,httpFlood
tcp,OTH,60,144,31,httpFlood
tcp,S3,374,175,100,httpFlood
tcp,S3,377,897,100,httpFlood
tcp,S3,380,771,100,httpFlood
tcp,S3,377,853,99,httpFlood
tcp,RSTO,446,486,100,httpFlood
tcp,RSTO,446,843,100,httpFlood
tcp,RSTO,446,689,100,httpFlood
tcp,S3,380,145,100,httpFlood
tcp,S3,377,928,100,httpFlood
tcp,S1,245,1034,100,httpFlood
tcp,OTH,60,177,33,httpFlood
tcp,S3,374,150,100,httpFlood
tcp,S1,248,200,100,httpFlood
tcp,OTH,60,179,33,httpFlood
tcp,S3,374,133,100,httpFlood
tcp,S3,464,107,100,httpFlood
tcp,S3,374,142,100,httpFlood
tcp,OTH,66,85,57,httpFlood
tcp,S3,377,1028,100,httpFlood
tcp,OTH,66,99,100,httpFlood
tcp,S3,374,137,94,httpFlood
tcp,S3,374,170,100,httpFlood
tcp,S3,374,150,100,httpFlood
