% isAttack tcpFlood:	199
% isAttack slowRead:	667
% isAttack httpFlood:	667
% isAttack slowHeaders:	667
% isAttack udpFlood:	667
% isAttack slowBody:	667
@relation 'tcpFlood-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R1,4-5,7-9,14,18,22,38,40'

@attribute total_fpackets numeric
@attribute total_bvolume numeric
@attribute min_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute min_bpktl numeric
@attribute mean_fiat numeric
@attribute mean_biat numeric
@attribute min_active numeric
@attribute total_fhlen numeric
@attribute isAttack {tcpFlood,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
6600,0,40,40,0,-1,3911,0,231481,132008,udpFlood
19027,0,40,40,0,-1,1594,0,30327482,380548,udpFlood
4384,0,40,40,0,-1,6684,0,29296148,87688,udpFlood
2,0,78,78,0,-1,751540,0,751540,48,udpFlood
19038,0,40,40,0,-1,1593,0,30326500,380768,udpFlood
6232,0,40,40,0,-1,4074,0,31251,124648,udpFlood
5008,0,40,40,0,-1,5865,0,29370187,100168,udpFlood
5094,0,40,40,0,-1,1895,0,9653359,101888,udpFlood
4773,0,40,40,0,-1,6145,0,29325390,95468,udpFlood
4691,0,40,40,0,-1,6262,0,29369433,93828,udpFlood
17899,0,40,40,0,-1,1673,0,29958844,357988,udpFlood
3656,0,40,40,0,-1,8019,0,29310145,73128,udpFlood
6259,0,40,40,0,-1,4171,0,47194,125188,udpFlood
2953,0,40,40,0,-1,6795,0,1679897,59068,udpFlood
3505,0,40,40,0,-1,7714,0,8279212,70108,udpFlood
3557,0,40,40,0,-1,8243,0,29313299,71148,udpFlood
4347,0,40,40,0,-1,6744,0,29312861,86948,udpFlood
6467,0,40,40,0,-1,4618,0,29862340,129348,udpFlood
589,0,40,40,0,-1,14848,0,2359773,11788,udpFlood
6677,0,40,40,0,-1,4473,0,29867174,133548,udpFlood
9430,0,40,40,0,-1,3053,0,8455010,188608,udpFlood
4336,0,40,40,0,-1,6774,0,29368293,86728,udpFlood
15763,0,40,40,0,-1,1882,0,29673103,315268,udpFlood
1269,0,40,40,0,-1,13077,0,2119749,25388,udpFlood
6576,0,40,40,0,-1,4542,0,29867259,131528,udpFlood
9595,0,40,40,0,-1,3060,0,29359039,191908,udpFlood
2720,0,40,40,0,-1,9567,0,2286898,54408,udpFlood
2140,0,40,40,0,-1,10902,0,919557,42808,udpFlood
639,0,40,40,0,-1,10044,0,6408474,12788,udpFlood
6009,0,40,40,0,-1,4343,0,28122,120188,udpFlood
9310,0,40,40,0,-1,3109,0,8434317,186208,udpFlood
2368,0,40,40,0,-1,10976,0,9605085,47368,udpFlood
7884,0,40,40,0,-1,3725,0,29365902,157688,udpFlood
4754,0,40,40,0,-1,2031,0,9654521,95088,udpFlood
4565,0,40,40,0,-1,2114,0,9651759,91308,udpFlood
2832,0,40,40,0,-1,7260,0,2360496,56648,udpFlood
989,0,40,40,0,-1,14987,0,1682406,19788,udpFlood
15627,0,40,40,0,-1,1899,0,29674295,312548,udpFlood
3720,0,40,40,0,-1,7707,0,28662538,74408,udpFlood
6326,0,40,40,0,-1,4127,0,34741,126528,udpFlood
4791,0,40,40,0,-1,2015,0,9654414,95828,udpFlood
6274,0,40,40,0,-1,4761,0,29868573,125488,udpFlood
7408,0,40,40,0,-1,3964,0,29366408,148168,udpFlood
2972,0,40,40,0,-1,8758,0,9604012,59448,udpFlood
9282,0,40,40,0,-1,3150,0,29241976,185648,udpFlood
5850,0,40,40,0,-1,4169,0,30111,117008,udpFlood
2925,0,40,40,0,-1,8178,0,1675259,58508,udpFlood
6700,0,40,40,0,-1,4458,0,29867943,134008,udpFlood
4992,0,40,40,0,-1,1934,0,9653780,99848,udpFlood
6708,0,40,40,0,-1,3763,0,34254,134168,udpFlood
4580,0,40,40,0,-1,6405,0,29332522,91608,udpFlood
3742,0,40,40,0,-1,7824,0,29271157,74848,udpFlood
15539,0,40,40,0,-1,1909,0,29674286,310788,udpFlood
4624,0,40,40,0,-1,6349,0,29354705,92488,udpFlood
4555,0,40,40,0,-1,6449,0,29369296,91108,udpFlood
