% isAttack tcpFlood:	1333
% isAttack httpFlood:	1333
% isAttack udpFlood:	372
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2,9,17,20,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute srv_count numeric
@attribute dst_host_count numeric
@attribute dst_host_diff_srv_rate numeric
@attribute isAttack {tcpFlood,httpFlood,udpFlood}

@data
tcp,685,100,0,httpFlood
tcp,377,100,0,httpFlood
tcp,154,33,0,httpFlood
tcp,174,33,0,httpFlood
tcp,492,100,0,httpFlood
tcp,407,100,0,httpFlood
tcp,81,61,0,httpFlood
tcp,527,100,0,httpFlood
tcp,657,100,0,httpFlood
tcp,2,2,0,httpFlood
tcp,130,100,0,httpFlood
tcp,77,55,0,httpFlood
tcp,43,93,0,httpFlood
tcp,150,100,0,httpFlood
tcp,65,65,0,httpFlood
tcp,151,100,0,httpFlood
tcp,226,100,0,httpFlood
tcp,168,100,0,httpFlood
tcp,767,100,0,httpFlood
tcp,176,33,0,httpFlood
tcp,922,100,0,httpFlood
tcp,111,100,0,httpFlood
tcp,145,100,0,httpFlood
tcp,110,100,0,httpFlood
tcp,364,100,0,httpFlood
tcp,183,100,0,httpFlood
tcp,158,33,0,httpFlood
tcp,307,100,0,httpFlood
tcp,100,100,0,httpFlood
tcp,137,100,0,httpFlood
tcp,700,100,0,httpFlood
tcp,24,24,0,httpFlood
tcp,91,98,0,httpFlood
tcp,604,100,0,httpFlood
tcp,617,100,0,httpFlood
tcp,135,31,0,httpFlood
tcp,761,100,0,httpFlood
tcp,197,100,0,httpFlood
tcp,1,1,0,httpFlood
tcp,640,100,0,httpFlood
tcp,758,100,0,httpFlood
tcp,411,100,0,httpFlood
tcp,148,100,0,httpFlood
tcp,484,100,0,httpFlood
tcp,424,100,0,httpFlood
tcp,163,100,0,httpFlood
tcp,129,88,0,httpFlood
tcp,150,100,0,httpFlood
tcp,597,100,0,httpFlood
tcp,3,3,0,httpFlood
tcp,132,100,0,httpFlood
tcp,187,100,0,httpFlood
tcp,487,100,0,httpFlood
tcp,255,100,0,httpFlood
tcp,153,100,0,httpFlood
tcp,634,99,0,httpFlood
tcp,108,100,0,httpFlood
tcp,5,5,0,httpFlood
tcp,151,100,0,httpFlood
tcp,176,33,0,httpFlood
tcp,148,100,0,httpFlood
tcp,77,77,0,httpFlood
tcp,125,30,0,httpFlood
tcp,129,100,0,httpFlood
tcp,238,98,0.04,httpFlood
tcp,727,100,0,httpFlood
