% isAttack normal:	2000
% isAttack highrate:	1000
% isAttack lowrate:	1000
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-V-R3-4,9,18-19,21,24,27-weka.filters.unsupervised.attribute.Remove'

@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute srv_count numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_srv_rate numeric
@attribute dst_host_same_src_port_rate numeric
@attribute dst_host_srv_serror_rate numeric
@attribute isAttack {normal,highrate,lowrate}

@data
SF,946,2115,100,1,0,0,normal
OTH,66,3265,40,1,0.15,0,normal
SF,946,589,100,1,0,0,normal
SF,880,3115,85,1,0,0,normal
OTH,66,5064,27,1,0.21,0,normal
SF,946,2062,90,1,0,0,normal
OTH,66,5610,38,1,0,0,normal
SF,946,4049,100,1,0,0,normal
OTH,66,3023,53,1,0.13,0,normal
SF,946,1856,100,1,0,0,normal
SF,946,3682,100,1,0,0,normal
SF,946,74,74,1,0,0,normal
SF,880,1834,100,1,0,0,normal
OTH,66,2950,46,1,0.04,0,normal
OTH,66,3487,57,1,0.03,0,normal
SF,946,1837,100,1,0,0,normal
S3,880,3434,100,1,0,0.6,normal
SF,1120,2154,100,1,0,0,normal
SF,946,2149,100,1,0,0,normal
SF,946,1205,100,1,0,0,normal
OTH,146,3550,53,1,0.02,0,normal
OTH,66,3554,49,1,0.08,0,normal
S2,418,2289,100,1,0,1,normal
OTH,66,3212,43,1,0,0,normal
OTH,66,2828,49,1,0.04,0,normal
OTH,66,4720,55,1,0.02,0,normal
SF,946,3504,100,1,0,0,normal
SF,946,563,97,1,0,0,normal
SF,946,2168,100,1,0,0,normal
OTH,66,2939,41,1,0,0,normal
OTH,66,5158,55,1,0,0,normal
OTH,66,3332,48,1,0.06,0,normal
SF,946,3899,100,1,0,0,normal
SF,946,4081,100,1,0,0,normal
SF,946,1856,100,1,0,0,normal
SF,946,2616,100,1,0,0,normal
SF,946,1662,100,1,0,0,normal
OTH,66,2647,47,1,0.12,0,normal
SF,946,456,100,1,0,0,normal
OTH,78,5650,50,1,0.1,0,normal
SF,880,1887,100,1,0,0,normal
OTH,66,3306,55,1,0.09,0,normal
OTH,66,3499,52,1,0.15,0,normal
OTH,66,3660,41,1,0.14,0,normal
OTH,66,3194,45,1,0,0,normal
OTH,66,3714,91,1,0.03,0,normal
OTH,66,5925,54,1,0,0,normal
SF,946,2297,100,1,0,0,normal
SF,946,3021,100,1,0,0,normal
OTH,66,3478,40,1,0.1,0,normal
OTH,66,5751,47,1,0.19,0,normal
OTH,66,3193,46,1,0,0,normal
OTH,66,6027,40,1,0,0,normal
SF,946,2300,100,1,0,0,normal
SF,880,3162,100,1,0,0,normal
SF,946,2217,100,1,0,0,normal
OTH,66,3785,45,1,0.17,0,normal
SF,880,2519,100,1,0,0,normal
SF,1024,3044,79,1,0,0,normal
OTH,66,3564,54,1,0,0,normal
SF,946,2033,100,1,0,0,normal
S3,550,3514,100,1,0,1,normal
S3,892,3199,100,1,0,1,normal
OTH,66,5719,52,1,0.09,0,normal
SF,946,1469,100,1,0,0,normal
OTH,146,2814,66,1,0.01,0,normal
OTH,66,6244,47,1,0.04,0,normal
SF,946,2116,100,1,0,0,normal
OTH,66,3294,44,1,0.18,0,normal
OTH,66,3019,40,1,0,0,normal
SF,946,3892,100,1,0,0,normal
OTH,66,4871,54,1,0.16,0,normal
SF,814,5787,55,1,0,0,normal
SF,946,1239,100,1,0,0,normal
OTH,66,4783,41,1,0.19,0,normal
SF,946,2046,100,1,0,0,normal
OTH,66,5312,70,1,0.1,0,normal
SF,946,2560,100,1,0,0,normal
SF,946,1731,100,1,0,0,normal
SF,946,4033,100,1,0,0,normal
SF,946,266,100,1,0,0,normal
SF,946,2277,100,1,0,0,normal
OTH,66,3172,49,1,0.06,0,normal
SF,430,3064,82,1,0,0,normal
SF,946,2224,100,1,0,0,normal
SF,946,1533,95,1,0,0,normal
SF,880,2234,100,1,0,0,normal
SF,1024,3329,92,1,0,0,normal
SF,946,1742,100,1,0,0,normal
OTH,66,4118,65,1,0.05,0,normal
OTH,66,4621,42,1,0.07,0,normal
OTH,66,3830,41,1,0,0,normal
SF,946,2078,88,1,0,0,normal
OTH,66,4139,88,1,0,0,normal
OTH,66,5060,47,1,0.06,0,normal
S3,748,2932,100,1,0,0.98,normal
OTH,66,3876,54,1,0.13,0,normal
SF,946,1060,100,1,0,0,normal
SF,946,1939,100,1,0,0,normal
S2,734,3462,100,1,0,0.74,normal
SF,946,1915,100,1,0,0,normal
OTH,66,4952,44,1,0,0,normal
SF,1024,3029,91,1,0,0,normal
OTH,78,2407,85,1,0.01,0,normal
OTH,66,2382,85,1,0.02,0,normal
SF,946,2141,100,1,0,0,normal
OTH,66,4081,99,1,0.04,0,normal
SF,946,2449,100,1,0,0,normal
OTH,66,5868,50,1,0.02,0,normal
OTH,66,3335,45,1,0.15,0,normal
SF,946,2525,100,1,0,0,normal
SF,946,2316,100,1,0,0,normal
SF,880,4030,100,1,0,0,normal
OTH,66,4505,47,1,0.1,0,normal
OTH,66,6144,52,1,0.09,0,normal
SF,946,2566,100,1,0,0,normal
SF,946,3347,100,1,0,0,normal
OTH,66,3702,91,1,0,0,normal
OTH,78,5891,46,1,0,0,normal
SF,946,1192,100,1,0,0,normal
SF,946,518,97,1,0,0,normal
SF,946,2440,100,1,0,0,normal
OTH,66,4052,32,1,0,0,normal
SF,946,4010,98,1,0,0,normal
SF,946,2699,100,1,0,0,normal
OTH,66,4154,88,1,0.07,0,normal
SF,946,2142,100,1,0,0,normal
SF,946,3882,100,1,0,0,normal
OTH,66,5671,17,1,0,0,normal
OTH,66,1890,46,1,0.06,0,normal
SF,946,3872,75,1,0,0,normal
SF,946,972,100,1,0,0,normal
SF,946,1509,100,1,0,0,normal
SF,946,3990,100,1,0,0,normal
OTH,66,2920,53,1,0.13,0,normal
SF,946,2364,100,1,0,0,normal
SF,946,1462,100,1,0,0,normal
SF,946,2167,100,1,0,0,normal
SF,946,1152,100,1,0,0,normal
SF,946,2151,100,1,0,0,normal
SF,946,2485,100,1,0,0,normal
SF,880,2158,86,1,0,0,normal
OTH,66,2734,51,1,0.13,0,normal
OTH,66,5880,55,1,0,0,normal
SF,880,1943,100,1,0,0,normal
SF,946,2102,100,1,0,0,normal
OTH,66,5517,100,1,0.01,0,normal
OTH,146,2586,69,1,0.01,0,normal
OTH,66,3586,59,1,0.07,0,normal
SF,946,1881,100,1,0,0,normal
SF,946,4000,98,1,0,0,normal
SF,1120,2065,100,1,0,0,normal
SF,946,1877,100,1,0,0,normal
OTH,66,3832,31,1,0.12,0,normal
OTH,66,3361,49,1,0.14,0,normal
OTH,146,4296,46,1,0,0,normal
SF,946,3517,100,1,0,0,normal
OTH,66,1883,39,1,0.12,0,normal
OTH,66,5163,42,1,0,0,normal
OTH,66,4487,49,1,0.1,0,normal
OTH,66,3157,40,1,0.15,0,normal
SF,1024,3014,55,1,0,0,normal
OTH,66,3988,48,1,0,0,normal
SF,946,2202,100,1,0,0,normal
OTH,66,5315,73,1,0.01,0,normal
SF,946,502,97,1,0,0,normal
SF,946,3874,100,1,0,0,normal
OTH,66,4496,47,1,0.1,0,normal
OTH,66,2721,46,1,0.13,0,normal
SF,946,2101,100,1,0,0,normal
SF,946,2700,78,1,0,0,normal
SF,946,2108,100,1,0,0,normal
SF,946,1112,100,1,0,0,normal
SF,946,3953,100,1,0,0,normal
OTH,66,2731,48,1,0.08,0,normal
SF,1024,3068,69,1,0,0,normal
SF,880,2995,100,1,0,0,normal
SF,946,2815,100,1,0,0,normal
SF,946,3883,100,1,0,0,normal
SF,946,2161,100,1,0,0,normal
SF,946,3211,96,1,0,0,normal
SF,946,2394,100,1,0,0,normal
SF,946,1303,100,1,0,0,normal
SF,946,2453,100,1,0,0,normal
SF,1120,2077,100,1,0,0,normal
SF,946,2223,100,1,0,0,normal
OTH,66,3248,44,1,0.04,0,normal
OTH,66,3355,52,1,0.06,0,normal
SF,1012,3259,92,1,0,0,normal
OTH,78,3574,67,1,0,0,normal
SF,946,1929,59,1,0,0,normal
OTH,66,3118,30,1,0.23,0,normal
SF,946,1883,99,1,0,0,normal
SF,946,3937,42,1,0,0,normal
OTH,66,3019,39,1,0.17,0,normal
S2,1024,2184,100,1,0,1,normal
SF,946,1922,100,1,0,0,normal
OTH,66,4102,62,1,0.08,0,normal
SF,946,2642,100,1,0,0,normal
OTH,66,5039,47,1,0,0,normal
OTH,66,4673,53,1,0.11,0,normal
SF,946,591,100,1,0,0,normal
