% isAttack tcpFlood:	1333
% isAttack httpFlood:	1333
% isAttack udpFlood:	372
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2,4,8,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute src_bytes numeric
@attribute count numeric
@attribute isAttack {tcpFlood,httpFlood,udpFlood}

@data
tcp,66,1,httpFlood
tcp,446,640,httpFlood
tcp,446,758,httpFlood
tcp,446,411,httpFlood
tcp,386,148,httpFlood
tcp,377,644,httpFlood
tcp,374,424,httpFlood
tcp,66,163,httpFlood
tcp,374,129,httpFlood
tcp,374,150,httpFlood
tcp,446,597,httpFlood
tcp,374,3,httpFlood
tcp,374,132,httpFlood
tcp,242,187,httpFlood
tcp,377,647,httpFlood
tcp,377,415,httpFlood
tcp,248,153,httpFlood
tcp,377,794,httpFlood
tcp,374,108,httpFlood
tcp,60,5,httpFlood
tcp,380,151,httpFlood
tcp,60,138,httpFlood
tcp,374,148,httpFlood
tcp,374,77,httpFlood
tcp,60,87,httpFlood
tcp,374,129,httpFlood
tcp,377,398,httpFlood
tcp,446,727,httpFlood
tcp,374,163,httpFlood
tcp,446,433,httpFlood
tcp,374,173,httpFlood
tcp,446,825,httpFlood
tcp,374,129,httpFlood
tcp,60,133,httpFlood
tcp,66,96,httpFlood
tcp,380,140,httpFlood
tcp,380,909,httpFlood
tcp,377,885,httpFlood
tcp,446,554,httpFlood
tcp,377,706,httpFlood
tcp,386,332,httpFlood
tcp,60,119,httpFlood
tcp,380,742,httpFlood
tcp,374,144,httpFlood
tcp,374,135,httpFlood
tcp,374,135,httpFlood
tcp,374,153,httpFlood
tcp,374,172,httpFlood
tcp,446,795,httpFlood
tcp,374,146,httpFlood
tcp,377,847,httpFlood
tcp,374,153,httpFlood
tcp,446,845,httpFlood
tcp,446,701,httpFlood
tcp,60,180,httpFlood
tcp,374,91,httpFlood
tcp,374,144,httpFlood
tcp,374,243,httpFlood
tcp,380,726,httpFlood
tcp,377,685,httpFlood
tcp,446,664,httpFlood
tcp,446,414,httpFlood
tcp,374,155,httpFlood
tcp,377,380,httpFlood
tcp,374,220,httpFlood
tcp,374,153,httpFlood
tcp,60,139,httpFlood
tcp,374,150,httpFlood
tcp,374,63,httpFlood
tcp,248,191,httpFlood
tcp,374,147,httpFlood
tcp,60,109,httpFlood
tcp,374,62,httpFlood
tcp,374,162,httpFlood
tcp,377,932,httpFlood
tcp,380,757,httpFlood
tcp,374,68,httpFlood
tcp,60,179,httpFlood
tcp,60,119,httpFlood
tcp,374,143,httpFlood
tcp,66,186,httpFlood
tcp,66,276,httpFlood
tcp,374,137,httpFlood
tcp,374,163,httpFlood
tcp,374,37,httpFlood
tcp,66,185,httpFlood
tcp,242,461,httpFlood
tcp,446,400,httpFlood
tcp,66,270,httpFlood
tcp,374,59,httpFlood
tcp,374,96,httpFlood
tcp,374,120,httpFlood
tcp,374,173,httpFlood
tcp,374,22,httpFlood
tcp,374,11,httpFlood
tcp,392,773,httpFlood
tcp,446,781,httpFlood
tcp,380,977,httpFlood
tcp,60,132,httpFlood
tcp,66,45,httpFlood
tcp,377,923,httpFlood
tcp,380,948,httpFlood
tcp,374,144,httpFlood
tcp,66,34,httpFlood
tcp,374,57,httpFlood
tcp,377,432,httpFlood
tcp,446,599,httpFlood
tcp,374,130,httpFlood
tcp,66,124,httpFlood
tcp,389,550,httpFlood
tcp,66,69,httpFlood
tcp,377,784,httpFlood
tcp,60,119,httpFlood
tcp,60,122,httpFlood
tcp,60,179,httpFlood
tcp,60,119,httpFlood
tcp,242,168,httpFlood
tcp,374,264,httpFlood
tcp,377,591,httpFlood
tcp,60,140,httpFlood
tcp,66,107,httpFlood
tcp,446,606,httpFlood
tcp,446,623,httpFlood
tcp,380,878,httpFlood
tcp,374,287,httpFlood
tcp,374,162,httpFlood
tcp,374,379,httpFlood
tcp,374,134,httpFlood
tcp,374,88,httpFlood
tcp,374,156,httpFlood
tcp,446,779,httpFlood
tcp,374,151,httpFlood
tcp,374,136,httpFlood
tcp,374,137,httpFlood
tcp,377,695,httpFlood
tcp,446,856,httpFlood
tcp,242,172,httpFlood
tcp,374,148,httpFlood
tcp,374,171,httpFlood
tcp,60,179,httpFlood
tcp,374,138,httpFlood
tcp,380,160,httpFlood
tcp,374,93,httpFlood
tcp,377,945,httpFlood
tcp,374,165,httpFlood
tcp,446,696,httpFlood
tcp,377,329,httpFlood
tcp,380,162,httpFlood
tcp,374,163,httpFlood
tcp,377,875,httpFlood
tcp,374,116,httpFlood
tcp,374,139,httpFlood
tcp,377,502,httpFlood
tcp,374,146,httpFlood
