% isAttack normal:	1332
% isAttack attack:	2592
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R1-5,8,11,15-17,21,27'

@attribute duration numeric
@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute count numeric
@attribute srv_serror_rate numeric
@attribute diff_srv_rate numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_same_src_port_rate numeric
@attribute isAttack {normal,attack}

@data
0,tcp,OTH,66,0,3838,0,0,0,44,0,normal
0,tcp,OTH,66,0,3186,0,0,0,100,0.04,normal
0,tcp,OTH,66,0,3294,0,0,0,45,0.13,normal
0,tcp,SF,946,12461,2843,0,0,0,100,0,normal
0,tcp,SF,946,12461,1863,0,0,0,100,0,normal
0,tcp,SF,946,12461,2201,0,0,0,100,0,normal
0,tcp,S1,386,7636,2159,0.23,0,0,100,0,normal
0,tcp,S2,1024,206,3257,0.47,0,0,100,0,normal
0,tcp,OTH,66,0,5933,0,0,0,41,0.21,normal
0,tcp,OTH,66,0,6028,0,0,0,42,0.09,normal
0,tcp,SF,946,12461,2023,0,0,0,100,0,normal
0,tcp,SF,946,12461,3942,0,0,0,71,0,normal
0,tcp,SF,946,12461,2357,0,0,0,100,0,normal
0,tcp,S2,946,12329,3631,0.5,0,0,100,0,normal
0,tcp,SF,946,12461,2170,0,0,0,100,0,normal
0,tcp,OTH,146,0,5309,0,0,0,81,0,normal
0,tcp,SF,734,9359,3944,0,0,0,71,0,normal
0,tcp,SF,946,12461,2818,0,0,0,99,0,normal
0,tcp,OTH,66,0,3037,0,0,0,20,0.38,normal
0,tcp,SF,946,12461,3049,0,0,0,100,0,normal
0,tcp,SF,880,12395,1129,0,0,0,100,0,normal
0,tcp,SF,946,12461,1393,0,0,0,100,0,normal
0,tcp,SF,1120,12461,2127,0,0,0,100,0,normal
0,tcp,OTH,66,0,3810,0,0,0,39,0.05,normal
0,tcp,SF,946,12461,2047,0,0,0,100,0,normal
0,tcp,OTH,66,0,3281,0,0,0,38,0.18,normal
0,tcp,OTH,146,0,2972,0,0,0,44,0.02,normal
0,tcp,SF,946,12461,2143,0,0,0,91,0,normal
0,tcp,OTH,66,0,2368,0,0,0,52,0.04,normal
0,tcp,SF,946,12461,3381,0,0,0,100,0,normal
0,tcp,OTH,146,0,2789,0,0,0,79,0.03,normal
0,tcp,SF,946,12461,2263,0,0,0,100,0,normal
0,tcp,SF,946,12461,1558,0,0,0,100,0,normal
0,tcp,OTH,66,0,3667,0,0,0,45,0,normal
0,tcp,OTH,66,0,3947,0,0,0,84,0.02,normal
0,tcp,OTH,66,0,2814,0,0,0,46,0.11,normal
0,tcp,SF,946,12461,1606,0,0,0,100,0,normal
0,tcp,SF,946,12461,2914,0,0,0,100,0,normal
0,tcp,SF,946,12461,1580,0,0,0,100,0,normal
0,tcp,OTH,66,0,2608,0,0,0,43,0.18,normal
0,tcp,OTH,66,0,5789,0,0,0,32,0.12,normal
0,tcp,SF,946,12461,2290,0,0,0,100,0,normal
0,tcp,SF,946,12461,3090,0,0,0,100,0,normal
0,tcp,SF,946,12461,1916,0,0,0,50,0,normal
0,tcp,SF,946,12461,307,0,0,0,100,0,normal
0,tcp,OTH,66,0,4210,0,0,0,57,0.1,normal
0,tcp,SF,946,12461,5681,0,0,0,72,0,normal
0,tcp,OTH,66,0,5340,0,0,0,81,0,normal
0,tcp,OTH,66,0,3195,0,0,0,43,0.16,normal
0,tcp,SF,1024,12527,3115,0,0,0,74,0,normal
0,tcp,OTH,66,0,3185,0,0,0,53,0.02,normal
0,tcp,OTH,66,0,2770,0,0,0,50,0.16,normal
0,tcp,OTH,66,0,4996,0,0,0,68,0.01,normal
0,tcp,OTH,66,0,5199,0,0,0,51,0.15,normal
0,tcp,SF,946,12461,2102,0,0,0,100,0,normal
0,tcp,SF,946,12461,905,0,0,0,99,0,normal
0,tcp,SF,946,12461,976,0,0,0,100,0,normal
0,tcp,SF,880,12395,1471,0,0,0,100,0,normal
0,tcp,OTH,66,0,5491,0,0,0,79,0.03,normal
0,tcp,SF,946,12461,20,0,0,0,20,0,normal
0,tcp,OTH,66,0,6233,0,0,0,50,0,normal
0,tcp,SF,946,12461,2057,0,0,0,99,0,normal
0,tcp,SF,946,12461,3053,0,0,0,100,0,normal
0,tcp,SF,946,12461,1528,0,0,0,100,0,normal
0,tcp,SF,946,12461,2146,0,0,0,100,0,normal
0,tcp,OTH,146,0,3091,0,0,0,41,0,normal
0,tcp,S2,206,140,2575,0.35,0,0,100,0,normal
0,tcp,SF,946,12461,779,0,0,0,100,0,normal
0,tcp,SF,946,12461,1871,0,0,0,100,0,normal
0,tcp,OTH,66,0,2795,0,0,0,53,0,normal
0,tcp,SF,946,12461,985,0,0,0,100,0,normal
0,tcp,OTH,66,0,6297,0,0,0,44,0.02,normal
0,tcp,SF,946,12461,2456,0,0,0,100,0,normal
0,tcp,SF,430,12461,3309,0,0,0,82,0,normal
0,tcp,OTH,66,0,2740,0,0,0,56,0.05,normal
0,tcp,OTH,66,0,1449,0,0,0,50,0.02,normal
0,tcp,SF,946,12461,2153,0,0,0,100,0,normal
0,tcp,S2,1024,206,3266,0.47,0,0,100,0,normal
0,tcp,S2,946,206,3582,0.49,0,0,100,0,normal
0,tcp,OTH,66,0,2973,0,0,0,63,0,normal
0,tcp,SF,880,12395,4460,0,0,0,60,0,normal
