% isAttack tcpFlood:	667
% isAttack slowRead:	667
% isAttack httpFlood:	667
% isAttack slowHeaders:	667
% isAttack udpFlood:	372
% isAttack slowBody:	667
@relation 'TCP Flood-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R1-5,9,11,14-15,18-19,23-24,27'

@attribute duration numeric
@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute srv_count numeric
@attribute srv_serror_rate numeric
@attribute same_srv_rate numeric
@attribute diff_srv_rate numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_srv_rate numeric
@attribute dst_host_serror_rate numeric
@attribute dst_host_srv_serror_rate numeric
@attribute isAttack {tcpFlood,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
0,tcp,OTH,78,0,4139,0,1,0,65,1,0,0,tcpFlood
0,tcp,OTH,78,0,22656,0,1,0,68,1,0,0,tcpFlood
0,tcp,OTH,78,0,9799,0,1,0,74,1,0,0,tcpFlood
0,tcp,OTH,78,0,10863,0,1,0,68,1,0,0,tcpFlood
0,tcp,OTH,78,0,20383,0,1,0,67,1,0,0,tcpFlood
0,tcp,OTH,78,0,13947,0,1,0,69,1,0,0,tcpFlood
0,tcp,OTH,78,0,3598,0,1,0,70,1,0,0,tcpFlood
0,tcp,OTH,78,0,9827,0,1,0,67,1,0,0,tcpFlood
0,tcp,OTH,78,0,8725,0,1,0,67,1,0,0,tcpFlood
0,tcp,OTH,78,0,27018,0,1,0,65,1,0,0,tcpFlood
0,tcp,OTH,78,0,19686,0,1,0,71,1,0,0,tcpFlood
0,tcp,OTH,78,0,19546,0,1,0,69,1,0,0,tcpFlood
0,tcp,OTH,78,0,8040,0,1,0,72,1,0,0,tcpFlood
0,tcp,OTH,78,0,11624,0,1,0,70,1,0,0,tcpFlood
0,tcp,OTH,78,0,25345,0,1,0,70,1,0,0,tcpFlood
0,tcp,OTH,78,0,710,0,1,0,69,1,0,0,tcpFlood
0,tcp,OTH,78,0,7464,0,1,0,75,1,0,0,tcpFlood
0,tcp,OTH,78,0,9390,0,1,0,64,1,0,0,tcpFlood
0,tcp,OTH,78,0,9901,0,1,0,71,1,0,0,tcpFlood
0,tcp,OTH,78,0,14825,0,1,0,65,1,0,0,tcpFlood
0,tcp,OTH,78,0,15521,0,1,0,61,1,0,0,tcpFlood
0,tcp,OTH,78,0,3714,0,1,0,63,1,0,0,tcpFlood
0,tcp,OTH,78,0,20623,0,1,0,64,1,0,0,tcpFlood
0,tcp,OTH,78,0,24616,0,1,0,66,1,0,0,tcpFlood
0,tcp,OTH,78,0,22843,0,1,0,66,1,0,0,tcpFlood
0,tcp,OTH,78,0,23674,0,1,0,67,1,0,0,tcpFlood
0,tcp,OTH,78,0,6022,0,1,0,75,1,0,0,tcpFlood
0,tcp,OTH,78,0,7331,0,1,0,74,1,0,0,tcpFlood
0,tcp,OTH,78,0,2299,0,1,0,64,1,0,0,tcpFlood
0,tcp,OTH,78,0,5521,0,1,0,75,1,0,0,tcpFlood
0,tcp,OTH,78,0,4541,0,1,0,67,1,0,0,tcpFlood
0,tcp,OTH,78,0,5561,0,1,0,70,1,0,0,tcpFlood
0,tcp,OTH,78,0,5242,0,1,0,72,1,0,0,tcpFlood
0,tcp,OTH,78,0,8684,0,1,0,71,1,0,0,tcpFlood
0,tcp,OTH,78,0,2123,0,1,0,65,1,0,0,tcpFlood
0,tcp,OTH,78,0,6233,0,1,0,67,1,0,0,tcpFlood
0,tcp,OTH,78,0,15474,0,1,0,67,1,0,0,tcpFlood
0,tcp,OTH,78,0,11120,0,1,0,69,1,0,0,tcpFlood
0,tcp,OTH,78,0,8420,0,1,0,68,1,0,0,tcpFlood
0,tcp,OTH,78,0,22738,0,1,0,69,1,0,0,tcpFlood
0,tcp,OTH,78,0,25991,0,1,0,72,1,0,0,tcpFlood
0,tcp,OTH,78,0,5500,0,1,0,64,1,0,0,tcpFlood
