@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-V-R3-4,8,18,21,27'

@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_src_port_rate numeric
@attribute isAttack {highrate,lowrate}

@data
S3,377,476,100,0,highrate
S3,374,134,100,0,highrate
S3,374,156,100,0,highrate
S3,377,901,100,0,highrate
S3,374,94,94,0,highrate
S3,374,171,100,0,highrate
S3,374,55,98,0,highrate
OTH,60,177,33,0.97,highrate
S3,380,773,100,0,highrate
OTH,66,29,29,0,highrate
S3,374,154,100,0,highrate
OTH,60,116,33,0.97,highrate
OTH,60,59,25,0.96,highrate
S3,374,145,100,0,highrate
OTH,66,203,98,0,highrate
OTH,60,163,33,0.97,highrate
S3,374,176,100,0,highrate
S3,377,903,100,0,highrate
OTH,60,177,33,0.97,highrate
OTH,60,105,34,0.97,highrate
S3,374,164,100,0,highrate
OTH,60,170,33,0.97,highrate
OTH,60,81,42,0.98,highrate
OTH,60,136,33,0.97,highrate
S3,374,137,100,0,highrate
S3,377,918,100,0,highrate
OTH,60,142,33,0.97,highrate
S3,380,146,100,0,highrate
S3,374,151,100,0,highrate
OTH,66,36,88,0,highrate
S3,374,162,100,0,highrate
S3,374,152,100,0,highrate
RSTO,446,340,100,0,highrate
S1,242,454,100,0,highrate
S3,374,306,100,0,highrate
S3,380,992,100,0,highrate
S3,374,15,98,0,highrate
S3,374,154,100,0,highrate
S3,377,406,100,0,highrate
S1,242,447,100,0,highrate
OTH,60,177,33,0.97,highrate
S3,380,141,100,0,highrate
OTH,66,31,31,0,highrate
OTH,60,47,33,0.97,highrate
S3,374,20,20,0,highrate
S3,374,43,98,0,highrate
OTH,66,199,98,0,highrate
S3,374,166,100,0,highrate
S3,377,566,100,0,highrate
S3,374,148,100,0,highrate
RSTO,446,371,100,0,highrate
RSTO,446,676,100,0,highrate
S3,374,165,100,0,highrate
OTH,66,21,21,0,highrate
S3,392,778,100,0,highrate
OTH,66,204,98,0,highrate
S3,374,140,100,0,highrate
RSTO,446,787,100,0,highrate
S3,374,174,100,0,highrate
S3,374,112,75,0,highrate
OTH,66,227,98,0,highrate
OTH,60,166,33,0.97,highrate
S3,377,926,100,0,highrate
S3,374,222,100,0,highrate
S3,374,395,100,0,highrate
S3,374,141,100,0,highrate
OTH,60,141,29,0.97,highrate
S3,377,514,100,0,highrate
OTH,60,102,33,0.97,highrate
RSTO,446,598,100,0,highrate
S3,377,777,99,0,highrate
S3,374,52,52,0,highrate
S3,374,133,100,0,highrate
RSTO,446,649,100,0,highrate
S3,377,486,100,0,highrate
S3,374,34,98,0,highrate
OTH,66,77,58,0,highrate
RSTO,446,589,100,0,highrate
S3,374,149,100,0,highrate
S3,374,139,100,0,highrate
RSTO,446,484,100,0,highrate
S3,374,150,100,0,highrate
RSTO,446,695,100,0,highrate
OTH,60,136,33,0.97,highrate
OTH,60,125,33,0.97,highrate
S3,374,3,3,0,highrate
S3,377,363,73,0,highrate
RSTO,446,522,100,0,highrate
RSTO,446,501,100,0,highrate
S3,377,431,100,0,highrate
RSTO,446,359,100,0,highrate
S3,374,103,71,0,highrate
S3,374,155,100,0,highrate
OTH,60,136,33,0.97,highrate
S3,374,128,100,0,highrate
S3,377,441,100,0,highrate
S3,374,106,100,0,highrate
OTH,60,94,42,0.98,highrate
S3,374,137,100,0,highrate
OTH,60,176,33,0.97,highrate
OTH,60,177,33,0.97,highrate
OTH,66,145,100,0,highrate
S3,374,120,100,0,highrate
S3,392,764,100,0,highrate
S3,374,118,100,0,highrate
S3,377,820,99,0,highrate
S3,377,540,100,0,highrate
OTH,66,279,99,0,highrate
S3,374,167,100,0,highrate
S3,374,298,100,0,highrate
S3,380,898,100,0,highrate
S3,374,65,65,0,highrate
S3,374,75,75,0,highrate
OTH,66,16,16,0,highrate
S3,374,147,100,0,highrate
OTH,60,115,33,0.97,highrate
S3,377,874,100,0,highrate
S3,374,147,100,0,highrate
S3,374,97,100,0,highrate
S3,374,70,70,0,highrate
OTH,60,136,33,0.97,highrate
S3,377,323,45,0,highrate
RSTO,446,740,100,0,highrate
S3,374,149,100,0,highrate
S3,377,1020,100,0,highrate
S3,374,133,100,0,highrate
S3,374,151,100,0,highrate
S3,374,15,15,0,highrate
S3,377,1006,100,0,highrate
S3,377,715,100,0,highrate
S3,377,772,99,0,highrate
S3,374,147,100,0,highrate
OTH,66,94,65,0.02,highrate
S3,374,153,100,0,highrate
OTH,60,4,4,0.8,highrate
S1,242,449,100,0,highrate
OTH,60,9,9,0.9,highrate
S3,374,159,100,0,highrate
RSTO,446,413,100,0,highrate
S3,377,673,100,0,highrate
OTH,60,107,33,0.97,highrate
OTH,66,73,94,0,highrate
OTH,60,130,32,0.97,highrate
S3,377,749,100,0,highrate
OTH,60,110,33,0.97,highrate
S3,380,165,100,0,highrate
OTH,66,37,89,0.01,highrate
S3,374,64,64,0,highrate
OTH,60,84,27,0.96,highrate
OTH,60,119,31,0.97,highrate
S3,377,657,100,0,highrate
S3,374,145,97,0,highrate
S3,377,800,99,0,highrate
S3,374,142,100,0,highrate
S3,377,736,100,0,highrate
S3,377,333,53,0,highrate
OTH,60,158,33,0.97,highrate
S3,374,141,100,0,highrate
S3,374,145,100,0,highrate
S3,374,138,100,0,highrate
S3,374,302,100,0,highrate
RSTO,446,759,100,0,highrate
S3,374,110,100,0,highrate
OTH,60,179,33,0.97,highrate
S1,242,452,100,0,highrate
S3,377,697,100,0,highrate
OTH,60,177,33,0.97,highrate
OTH,60,87,42,0.98,highrate
S3,377,812,99,0,highrate
S3,374,134,93,0,highrate
S3,386,142,100,0,highrate
OTH,60,129,32,0.97,highrate
RSTO,446,844,100,0,highrate
S3,377,420,100,0,highrate
S3,374,130,100,0,highrate
S3,377,574,100,0,highrate
S3,377,449,100,0,highrate
RSTO,446,396,100,0,highrate
S3,374,156,100,0,highrate
S3,377,975,100,0,highrate
S3,377,386,88,0,highrate
S3,374,44,44,0,highrate
OTH,60,69,28,0.52,highrate
OTH,66,85,96,0,highrate
OTH,60,179,33,0.97,highrate
OTH,66,56,94,0,highrate
S3,377,623,100,0,highrate
S3,374,197,100,0,highrate
OTH,60,179,33,0.97,highrate
RSTO,446,329,100,0,highrate
S3,374,248,100,0,highrate
OTH,60,142,33,0.97,highrate
OTH,66,19,19,0,highrate
OTH,60,80,24,0.96,highrate
OTH,60,177,33,0.97,highrate
OTH,60,22,22,0.96,highrate
OTH,60,105,34,0.97,highrate
OTH,60,178,33,0.97,highrate
S3,377,722,100,0,highrate
S3,374,145,100,0,highrate
S3,374,38,38,0,highrate
OTH,60,179,33,0.97,highrate
S3,374,72,72,0,highrate
S3,374,145,100,0,highrate
OTH,60,180,33,0.97,highrate
S3,374,144,100,0,highrate
S3,374,81,81,0,highrate
S3,377,520,100,0,highrate
S3,374,95,100,0,highrate
OTH,60,140,31,0.97,highrate
RSTO,446,404,100,0,highrate
RSTO,446,846,100,0,highrate
S3,377,676,100,0,highrate
S3,374,150,100,0,highrate
S3,377,961,100,0,highrate
S3,380,141,100,0,highrate
S3,374,10,98,0,highrate
OTH,66,309,100,0,highrate
S3,374,39,98,0,highrate
RSTO,446,332,100,0,highrate
OTH,60,179,33,0.97,highrate
